1701,,16th century,Ps.Od.,"Nat.-Mus., 23",Ohrid,North Macedonia
1750,,15th century,Ps.,"BnF, Suppl. gr. 801",Paris,Francia
1751,,15th century,Ps.,"BnF, Suppl. gr. 802",Paris,Francia
1752,,14th century,Ps. fragm.,"BnF, Suppl. gr. 1000",Paris,Francia
1753,,15th century,Ps.Od.,"BnF, Suppl. gr. 1032",Paris,Francia
1754,,15th century,Ps.Od.,"BnF, Suppl. gr. 1227",Paris,Francia
1755,,1458,Ps.Od.,"BnF, Suppl. gr. 1272",Paris,Francia
1756,,13th century,Cat. in Ps.,"Ίωάννου τοὒ Θεολόγου, 215",Patmos,Greece
1757,,13th century,Ps.Od.,"Ίωάννου τοὒ Θεολόγου, 268",Patmos,Greece
1758,,12th? century,Cat. in Ps.,"Ίωάννου τοὒ Θεολόγου, 420",Patmos,Greece
1759,,14th century,Ps.Od.,"Bibl. Comun, L. 31",Perugia,Italy
1760,,14th century,Ps.,RBN Gr. 115,Petersburg,Russia
1761,,13th century,Ps. fragm.,RBN Gr. 271,Petersburg,Russia
1762,,14th century,Ps.,RBN Gr. 518,Petersburg,Russia
1763,,1510,Ps.Od.,RBN Gr. 545,Petersburg,Russia
1764,,1540,Ps.Od.,"Geistl. Akad., Sof. Bibl., 78",Petersburg,Russia
1765,,16th century,"Ps.Od., Excerpta e Sap. and Sir.","Geistl. Akad., Sof. Bibl., 79",Petersburg,Russia
1766,,1422,Psalms graduales,"Bibl. Angel., Gr. 59",Rome,Italy
1767,,15th century,Ps.Od.,"Bibl. Casanatense, 240",Rome,Italy
1768,,16th century,Ps.Od.,"Vatican Library, Chis. R. IV. 5",Vatican City,
1769,,15th century,Cat. in Ps.,"Bibl. Vallicell., Gr. 58",Rome,Italy
1770,,13th century,Ps.Od.,"Bibl. Vallicell., Gr. 68",Rome,Italy
1771,,16th century,Ps. fragm.,"Vatican Library, Barber. gr. 289",Vatican City,
1772,,15th century,Ps.Od.,"Vatican Library, Barber. gr. 321",Vatican City,
1773,,15th century,Ps. fragm.,"Vatican Library, Barber. gr. 366",Vatican City,
1774,,15th century,Ps.,"Vatican Library, Barber. gr. 406",Vatican City,
1775,,16th century,Cat. in Od.,"Vatican Library, Barber. gr. 548",Vatican City,
1776,,15th century,Ps.Od.,"Vatican Library, Vat. Palat. Gr. 87",Vatican City,
1777,,14th/15th century,Ps.Od.,"Vatican Library, Vat. Palat. Gr. 107",Vatican City,
1778,,1452,Ps.Od.,"Vatican Library, Vat. Palat. Gr. 225",Vatican City,
1779,,15th century,Cat. in Ps.,"Vatican Library, Pii II. gr. 26",Vatican City,
1780,,13th century,Ps.,"Vatican Library, Regin. gr. 187",Vatican City,
1781,,15th century,Ps.,"Vatican Library, Vat. arab. 581",Vatican City,
1782,,15th century,Ps.,"Vatican Library, Vat. gr. 340",Vatican City,
1783,,16th century,"Cat. in Ps. 1, Tht. comm. in Ps. / Cat. in Od.","Vatican Library, Vat. gr. 617",Vatican City,
1784,,1341?,Ps.Od.,"Vatican Library, Vat. gr. 695",Vatican City,
1785,,14th century,Ps. fragm.,"Vatican Library, Vat. gr. 773",Vatican City,
1786,,c. 1390,Ps.Od.,"Vatican Library, Vat. gr. 778",Vatican City,
1787,,1291,Ps.Od.,"Vatican Library, Vat. gr. 1070",Vatican City,
1788,,15th century,Cat. in Ps.Od.,"Vatican Library, Borgian. gr. 2-4",Vatican City,
1789,,16th century,Cat. in Od.,"Vatican Library, Vat. gr. 1232",Vatican City,
1790,,16th century,Ps.Od.,"Vatican Library, Vat. gr. 1399",Vatican City,
1791,,16th century,Ps.,"Vatican Library, Vat. gr. 1460",Vatican City,
1792,,16th century,"Cat. in Od., Cat. in Ps. fragm.","Vatican Library, Vat. gr. 1493",Vatican City,
1793,,16th century,Cat. in Ps.Od.,"Vatican Library, Vat. gr. 1617",Vatican City,
1794,,16th century,Cat. in Od.,"Vatican Library, Vat. gr. 1664",Vatican City,
1795,,16th century,Cat. in Ps.Od.,"Vatican Library, Vat. gr. 1677 and 1678",Vatican City,
1796,,16th century,Cat. in Ps.Od.,"Vatican Library, Vat. gr. 1682 and 1683",Vatican City,
1797,,16th century,Cat. in Ps.Od.,"Vatican Library, Vat. gr. 1685",Vatican City,
1798,,13th century,Ps.Od.,"Vatican Library, Vat. gr. 1866",Vatican City,
1799,,15th? century,Ps. fragm.,"Vatican Library, Vat. gr. 1882, Bl. 1-9",Vatican City,
1800,,15th century,Ps.,"Vatican Library, Vat. gr. 1896, 2296I (Bl. 51-100) and 2297",Vatican City,
