843,,4th/5th century,Exod. 4:4-6,"Bodleian Library, Gr. bibl. g. 2 (P)",Oxford,U. Kingdom
844,,3rd century,Is. 23:4-7.10-13,"LoC, 4082 B","Washington, D.C.",United States
845,,4th century,Reg. I 13:16-18.20-21; 13:23-14:1.3-4; 18:8-25,"ÖNB, Suppl. Gr. 187;Laurentian Library, PL Inv. III/957",Vienna;Florence,Austria;Italy
846,,4th/5th century,Reg. I 24:11-17; 24:20-25:20; 31:12- II 2:4 fragm.,"YBR, MS 544",New Haven,United States
847,Papyrus Fouad 266,2nd/1st century BCE,"Deuteronomy 10:22; 11:1.10,11.16; 31:26-19; 32:2,4; 33:14-19.22-23.26-27","Sociandé Royale de Papyrologie, Gr. P. 458",Cairo,Egypt
848,Papyrus Fouad 266,2nd/1st century BCE,Deuteronomy 17:14 to 33:29 (with gaps),"Sociandé Royale de Papyrologie, Gr. P. 458",Cairo,Egypt
849,,7th/8th century,Job 7:8-11 fragm.,"John Rylands Library, P. Ryl. Copt. 3",Manchester,U. Kingdom
850,,3rd/4th century,Is. 48:6-18 fragm.,"Gr.-Röm. Mus., P. Alex. Inv 203",Alexandria,Egypt
851,,4th century,Jer. 5:10-6:10,"Bibl. Publ. and Univ., P. Gen. gr. Inv. 252",Geneva,Switzerland
852,,5th century,Is. 1:22-2:2 fragm.,"IfA, P.Colon. Inv. 2420",Cologne,Germany
853,,6th/7th century,Dan. 6:20,"Bodleian Library, Gr. bibl. c. 2 (P)",Oxford,U. Kingdom
854,,3rd century,"Job 9:2,12-13 fragm.","Chester Beatty Library, P. Ch. Beatty XVIII",Dublin,Ireland
855,,6th century,Job 7:9-10:14 fragm.,"ÖNB, P. Vindob. G 35767",Vienna,Austria
856,,4th century,Sap. 4:17-5:1 fragm.,P.Oxy. 4444,Oxyrhynchus,
857,P. Oxyrhynchus 3522,1st century,"Job 42:11,12","Sackler Library, P.Oxy.L 3522",Oxford,U. Kingdom
858,,3rd century,Lev. 19:16-19.31-33 fragm.,"IfP, P. Heid. Inv. G 954",Heidelberg,Germany
859,,4th century,Sap. 17:5-20 fragm.,"IfA, P.Colon. Inv. 5849",Cologne,Germany
860,,5th century,Reg. III 2:30-31.35 fragm.,"Univ.-Bibl., P. Amst. Inv. 45",Amsterdam,Netherlands
861,,3rd/4th century,"Sus., Dan. 1:1-20 fragm.","Bodmer Library, P. Bodm. XLV/XLVI",Cologny (Canton of Geneva),Switzerland
{862}locked,,3rd/4th century,,"Bodmer Library, P. Bodm. XLVI s:861",Cologny (Canton of Geneva),Switzerland
863,,4th/5th century,Sir. 29:13-26 fragm.,"private collections of Fackelmann, P. A. Fackelmann 12",Vienna,Austria
864,,4th/5th century,Sir. 26:1-2.5-7; 27:29-28:2.5-8 fragm.,"Laurentian Library, PL Inv. III/424",Florence,Italy
865,,,"Exod. 4:2-6,14-17 fragm.",private collections of Horsley,Bundoora,Australia
866,,4th century,Exod. 4:16-7:21; 33:11-35:4 lukami),"Schøyen Coll., MS 187;Gal. F. Antonovich;NLH Nr. III",Oslo;Paris;?,Norway;Francia;?
867,,7th century,Reg. I 4:6.9.13.15-16 fragm.,"Ägyptisches Museum, P. 21291",Berlin,Germany
868,,6th/7th century,Reg. IV 20:5-6.10-12 fragm.,"Ägyptisches Museum, P. 21289",Berlin,Germany
869,,3rd/4th century,Est. 4:4-5.8-11 fragm.,"Sem. Pap., P. Palau Rib. Inv. 163",Barcelona,Spain
870,,4th/5th century,quotes of Eccl. 1-4.7.8; Cant. 4; Sir. 48.50f fragm.,"Sem. Pap., P. Palau Rib. Inv. 225r",Barcelona,Spain
871,,4th/6th? century,Prov 7:3-13,"UML, P. Mich. Inv. 768",Ann Arbor,United States
872,,4th century,Jer. 41:3.1-11; 42:9-10.16-17,"ÖNB, P. Vindob. G 19891",Vienna,Austria
873,,5th century,Jer. 31:15-17.22.25-27,"ÖNB, P. Vindob. G 26072",Vienna,Austria
874,,6th century,Jer. 24:9-10; 25:16-17 fragm.,"Int. Pap., „G. Vitelli” PSI Inv. 74",Florence,Italy
875,,3rd century,Dan. o' 1:2-5.6-10 fragm.,NLH Nr. II,?,
876,,5th? century,Jg. 3:15.20; 13:10.11.16; 16:6-8.11-12.21-23.26 fragm.,"PML, Pap. G. 198",New York,United States
877,,5th century,Exod. 21:27-28.36 fragm.,"Laurentian Library, PL Inv. III/310B",Florence,Italy
878,,3rd century,Tob. 12:6-11,"Int. Pap., „G. Vitelli” PSI Inv. 2666",Florence,Italy
879,,4th century,Gen. 34:21-22.25 fragm.,"Ägypt. Mus., S. R. 3805 (9)",Cairo,Egypt
880,,7th century,Par. I 25:26-29; 26:30(?); II 4:6-8; 6:19-20; 29:3,P. Sinai Gr. 1 (= Π 1),Sinai,Egypt
881,,3rd century,Is. 33:7-8.17-19; 40:13-14.24-26 fragm.,"ÖNB, P. Vindob. G 23164 + 17417",Vienna,Austria
[882]missing,,5th? century,Sir. 1:25-2:11,NLH Nr. I,?,
883,,5th/6th century,Gen. 37:3-4.8-9 fragm.,"Bibl. publ. and univ., P. Gen. gr. Inv. 99",Geneva,Switzerland
[884]destroyed,,5th/6th century,Deut. 24:15-21; 25:3.6-8; 27:4-8.11-12.21-26; 28:20.24.29.32; 29:22-24 fragm.,"Univ. Bibl., P. 19, Nr. 1-9, + P. 13 + P. 22 + P. 26",Gießen,Germany
885,,5th/6th century,Exod. 9:1-2.6-8.10-11.14 fragm.,"Bodleian Library, Gr. bibl. f. 4 (P)",Oxford,U. Kingdom
886,,5th century,Gen. 25:19-22; 26:3-4; Exod. 3:2-8.12-13.16-19 fragm.,"BNU, Pap. Gr. 748;Univ., Inv. P. Lange 32 A",Strasbourg;Copenhagen,Francia;Denmark
887,,4th century,Num. 6:22-23.25-27.24,"Byz. Mus., ?",Thessaloniki,Greece
888,,c. 700,Sap. 10:8-9.17,"Bibl. Univ., Khirband Mird PAM 21 a+b",Leuven,Austria
889,,4th century,Sap. 4:12(?); 11:19; Sir 25:16; Ps 7:12,P.Oxy. 2073,Oxyrhynchus,
890,,7th century,quotes from Prov. 10-14.16.18 and NT,"UML, P. Mich. 3718",Ann Arbor,United States
891,,4th/5th century,Gen. 27:30-28:10,"Neue Slg., ΜΓ 76",Sinai,Egypt
892,,7th century,Sir. 10 and 13 (with gaps),"Neue Slg., ΜΓ 77",Sinai,Egypt
893,,8th century,Sir. 33:13; 34:1-37:5,"Neue Slg., ΜΓ 107",Sinai,Egypt
894,,5th/6th century,Gen. 36:11-12.18-19 fragm.,"IfP, P. Heid. Inv. G 5148",Heidelberg,Germany
895,,5th century,Ps. 118:2; Thr. 3:27-31 / quotes of NT,"UML, P. Mich. 1574",Ann Arbor,United States
896,,3rd century,Exod. 22:27; 22:31-23:2.14-16,"Woodbr. Coll., OLCR, P. Inv. 54 c",Birmingham,U. Kingdom
897,,4th century,Jer. 14:3-5.7-9,private collections of,Cambridge,U. Kingdom
